Local;Departamento;Provincia;Distrito;Mes;Tipo Transaccion;TRANSACCIONES
AG CAJATAMBO;LIMA;CAJATAMBO;CAJATAMBO;JULIO;TRAMITE DNI;16
AG CAJATAMBO;LIMA;CAJATAMBO;CAJATAMBO;JULIO;ENTREGA DNI;23
AG CAJATAMBO;LIMA;CAJATAMBO;CAJATAMBO;AGOSTO;TRAMITE DNI;24
AG CAJATAMBO;LIMA;CAJATAMBO;CAJATAMBO;AGOSTO;ENTREGA DNI;19
AG CAJATAMBO;LIMA;CAJATAMBO;CAJATAMBO;SEPTIEMBRE;TRAMITE DNI;24
AG CAJATAMBO;LIMA;CAJATAMBO;CAJATAMBO;SEPTIEMBRE;ENTREGA DNI;22
AG CANTA;LIMA;CANTA;CANTA;JULIO;TRAMITE DNI;22
AG CANTA;LIMA;CANTA;CANTA;JULIO;ENTREGA DNI;36
AG CANTA;LIMA;CANTA;CANTA;AGOSTO;TRAMITE DNI;63
AG CANTA;LIMA;CANTA;CANTA;AGOSTO;ENTREGA DNI;31
AG CANTA;LIMA;CANTA;CANTA;AGOSTO;CERTIFICACION DE RUIPN;6
AG CANTA;LIMA;CANTA;CANTA;SEPTIEMBRE;TRAMITE DNI;49
AG CANTA;LIMA;CANTA;CANTA;SEPTIEMBRE;ENTREGA DNI;56
AG CANTA;LIMA;CANTA;CANTA;SEPTIEMBRE;RRCC COPIAS CERTIF;11
AG CANTA;LIMA;CANTA;CANTA;SEPTIEMBRE;CERTIFICACION DE RUIPN;60
AG CAÑETE;LIMA;CAÑETE;SAN VICENTE DE CAÑETE;JULIO;TRAMITE DNI;1,801
AG CAÑETE;LIMA;CAÑETE;SAN VICENTE DE CAÑETE;JULIO;ENTREGA DNI;3,537
AG CAÑETE;LIMA;CAÑETE;SAN VICENTE DE CAÑETE;JULIO;RRCC COPIAS CERTIF;224
AG CAÑETE;LIMA;CAÑETE;SAN VICENTE DE CAÑETE;JULIO;CERTIFICACION DE RUIPN;629
AG CAÑETE;LIMA;CAÑETE;SAN VICENTE DE CAÑETE;JULIO;CERTIFICADOS DIGITALES;6
AG CAÑETE;LIMA;CAÑETE;SAN VICENTE DE CAÑETE;AGOSTO;TRAMITE DNI;2,067
AG CAÑETE;LIMA;CAÑETE;SAN VICENTE DE CAÑETE;AGOSTO;ENTREGA DNI;3,804
AG CAÑETE;LIMA;CAÑETE;SAN VICENTE DE CAÑETE;AGOSTO;RRCC COPIAS CERTIF;328
AG CAÑETE;LIMA;CAÑETE;SAN VICENTE DE CAÑETE;AGOSTO;CERTIFICACION DE RUIPN;509
AG CAÑETE;LIMA;CAÑETE;SAN VICENTE DE CAÑETE;AGOSTO;CERTIFICADOS DIGITALES;7
AG CAÑETE;LIMA;CAÑETE;SAN VICENTE DE CAÑETE;SEPTIEMBRE;TRAMITE DNI;1,966
AG CAÑETE;LIMA;CAÑETE;SAN VICENTE DE CAÑETE;SEPTIEMBRE;ENTREGA DNI;3,489
